sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2025-10-10;"4,081.47";"4,019.09";"4,019.09";;1;
2025-10-09;"4,100.52";"4,054.49";"4,062.70";;1;
2025-10-08;"4,097.01";"4,056.54";"4,087.85";;1;
2025-10-07;"4,086.76";"4,057.94";"4,062.35";;1;
2025-10-06;"4,102.13";"4,062.62";"4,086.79";;1;
2025-10-03;"4,075.97";"4,056.69";"4,075.01";;1;
2025-10-02;"4,045.05";"4,005.45";"4,034.55";;1;
2025-10-01;"3,967.26";"3,934.96";"3,961.93";;1;
2025-09-30;"3,961.24";"3,920.89";"3,961.24";;1;
2025-09-29;"3,970.57";"3,928.33";"3,941.43";;1;
2025-09-26;"3,965.39";"3,923.80";"3,948.84";;1;
2025-09-25;"3,968.10";"3,919.58";"3,925.17";;1;
2025-09-24;"4,004.46";"3,965.12";"3,967.88";;1;
2025-09-23;"4,036.48";"3,994.50";"4,015.41";;1;
2025-09-22;"4,006.42";"3,979.08";"3,992.51";;1;
2025-09-19;"4,015.35";"3,982.64";"3,994.12";;1;
2025-09-18;"4,017.30";"3,964.25";"3,998.27";;1;
2025-09-17;"3,980.43";"3,948.84";"3,948.84";;1;
2025-09-16;"4,027.61";"3,958.39";"3,958.39";;1;
2025-09-15;"4,035.11";"3,986.78";"4,001.41";;1;
2025-09-12;"4,022.92";"3,989.72";"4,003.78";;1;
2025-09-11;"4,009.97";"3,950.86";"3,996.15";;1;
2025-09-10;"4,005.99";"3,973.72";"3,977.73";;1;
2025-09-09;"4,006.64";"3,966.21";"3,980.04";;1;
2025-09-08;"4,005.17";"3,952.24";"4,001.06";;1;
2025-09-05;"3,972.07";"3,926.54";"3,956.25";;1;
2025-09-04;"3,925.01";"3,894.32";"3,908.40";;1;
2025-09-03;"3,919.73";"3,874.85";"3,898.74";;1;
2025-09-02;"3,973.30";"3,869.18";"3,869.18";;1;
2025-09-01;"3,987.51";"3,963.50";"3,967.77";;1;
2025-08-29;"3,993.67";"3,959.26";"3,960.05";;1;
2025-08-28;"4,008.62";"3,978.49";"3,991.30";;1;
2025-08-27;"4,002.03";"3,967.41";"3,981.44";;1;
2025-08-26;"4,021.04";"3,986.52";"3,999.50";;1;
2025-08-25;"4,045.90";"4,009.86";"4,010.92";;1;
2025-08-22;"4,053.72";"3,970.71";"4,053.60";;1;
2025-08-21;"4,000.86";"3,965.73";"3,973.06";;1;
2025-08-20;"4,012.60";"3,982.34";"3,993.74";;1;
2025-08-19;"4,022.08";"3,944.39";"4,019.44";;1;
2025-08-18;"3,977.20";"3,933.05";"3,945.61";;1;
2025-08-15;"3,990.60";"3,964.54";"3,966.98";;1;
2025-08-14;"3,976.77";"3,932.78";"3,963.97";;1;
2025-08-13;"3,958.48";"3,926.70";"3,933.05";;1;
2025-08-12;"3,943.01";"3,916.08";"3,941.71";;1;
2025-08-11;"3,949.66";"3,907.70";"3,907.70";;1;
2025-08-08;"3,960.18";"3,940.26";"3,949.40";;1;
2025-08-07;"3,958.08";"3,902.99";"3,943.15";;1;
2025-08-06;"3,934.43";"3,880.06";"3,892.50";;1;
2025-08-05;"3,913.63";"3,886.78";"3,899.64";;1;
2025-08-04;"3,889.21";"3,860.25";"3,877.72";;1;
2025-08-01;"3,914.86";"3,843.35";"3,863.41";;1;
2025-07-31;"4,016.10";"3,946.47";"3,948.71";;1;
2025-07-30;"4,030.69";"3,970.28";"3,988.56";;1;
2025-07-29;"4,022.78";"3,974.79";"3,985.82";;1;
2025-07-28;"4,047.84";"3,953.12";"3,966.53";;1;
2025-07-25;"3,994.98";"3,964.00";"3,994.98";;1;
2025-07-24;"4,034.90";"3,993.89";"3,996.62";;1;
2025-07-23;"3,992.36";"3,940.74";"3,987.83";;1;
2025-07-22;"3,919.66";"3,878.70";"3,890.47";;1;
2025-07-21;"3,948.44";"3,915.73";"3,925.96";;1;
2025-07-18;"4,044.78";"3,910.63";"3,920.06";;1;
2025-07-17;"3,994.46";"3,928.03";"3,975.98";;1;
2025-07-16;"3,928.78";"3,877.28";"3,883.87";;1;
2025-07-15;"3,948.97";"3,907.11";"3,919.67";;1;
2025-07-14;"3,919.96";"3,889.45";"3,900.19";;1;
2025-07-11;"3,988.03";"3,948.82";"3,951.85";;1;
2025-07-10;"3,995.96";"3,935.33";"3,995.96";;1;
2025-07-09;"3,943.48";"3,882.94";"3,925.57";;1;
2025-07-08;"3,895.21";"3,856.07";"3,895.21";;1;
2025-07-07;"3,885.60";"3,854.25";"3,880.59";;1;
2025-07-04;"3,882.61";"3,853.92";"3,874.05";;1;
2025-07-03;"3,916.51";"3,888.20";"3,895.67";;1;
2025-07-02;"3,889.99";"3,837.36";"3,884.49";;1;
2025-07-01;"3,847.14";"3,791.94";"3,825.58";;1;
2025-06-30;"3,892.73";"3,829.98";"3,839.48";;1;
2025-06-27;"3,877.39";"3,811.77";"3,877.39";;1;
2025-06-26;"3,773.45";"3,742.95";"3,773.45";;1;
2025-06-25;"3,794.30";"3,748.48";"3,755.76";;1;
2025-06-24;"3,833.65";"3,755.67";"3,760.36";;1;
2025-06-23;"3,765.91";"3,712.10";"3,728.88";;1;
2025-06-19;"3,783.14";"3,754.10";"3,758.06";;1;
2025-06-18;"3,803.76";"3,762.28";"3,776.08";;1;
2025-06-17;"3,821.01";"3,780.55";"3,795.25";;1;
2025-06-16;"3,835.55";"3,799.90";"3,828.33";;1;
2025-06-13;"3,804.88";"3,771.53";"3,799.91";;1;
2025-06-12;"3,838.13";"3,795.61";"3,823.23";;1;
2025-06-11;"3,892.69";"3,851.73";"3,852.48";;1;
2025-06-10;"3,882.09";"3,857.18";"3,874.70";;1;
2025-06-09;"3,915.77";"3,875.00";"3,877.54";;1;
2025-06-05;"3,909.50";"3,871.41";"3,900.78";;1;
2025-06-04;"3,872.46";"3,831.32";"3,866.00";;1;
2025-06-03;"3,815.34";"3,777.60";"3,815.34";;1;
2025-06-02;"3,824.90";"3,773.41";"3,793.83";;1;
2025-05-30;"3,877.32";"3,820.91";"3,834.01";;1;
2025-05-28;"3,888.26";"3,862.71";"3,874.14";;1;
2025-05-27;"3,899.11";"3,867.93";"3,875.55";;1;
2025-05-26;"3,877.47";"3,853.83";"3,871.38";;1;
2025-05-23;"3,886.61";"3,748.85";"3,806.52";;1;
2025-05-22;"3,908.73";"3,834.37";"3,847.13";;1;
2025-05-21;"3,941.20";"3,891.78";"3,932.84";;1;
2025-05-20;"3,969.61";"3,929.25";"3,959.42";;1;
2025-05-19;"3,957.92";"3,920.26";"3,957.92";;1;
2025-05-16;"3,992.93";"3,941.88";"3,954.36";;1;
2025-05-15;"3,972.84";"3,912.53";"3,968.34";;1;
2025-05-14;"3,957.60";"3,926.07";"3,940.66";;1;
2025-05-13;"3,962.70";"3,923.46";"3,952.64";;1;
2025-05-12;"3,958.22";"3,850.24";"3,936.62";;1;
2025-05-09;"3,834.53";"3,791.61";"3,801.89";;1;
2025-05-08;"3,826.95";"3,777.26";"3,807.05";;1;
2025-05-07;"3,781.30";"3,749.48";"3,762.02";;1;
2025-05-06;"3,806.04";"3,724.26";"3,764.45";;1;
2025-05-05;"3,808.27";"3,786.52";"3,806.31";;1;
